3600 Exchange(comparisons):, 149087,125275,137127,130583,130353,124354,130806,135544,131841,148163,132256,152783,139660,143001,140100,133268,140142,134052,143760,146879,
3700 Exchange(comparisons):, 137594,145021,143560,137949,139837,133186,143314,124455,152390,134622,144631,134389,127056,134601,126666,137255,138413,133150,133980,143336,
3800 Exchange(comparisons):, 128160,144615,135455,132666,128457,135194,134177,145671,128354,125786,133185,129210,137802,125046,130079,134993,126468,131503,128350,127564,
3900 Exchange(comparisons):, 138864,136008,127681,131520,128493,130827,131419,132976,134632,134035,139615,133842,133998,125974,124287,128117,147116,147093,137324,146797,
4000 Exchange(comparisons):, 136766,149717,142611,134602,140171,132446,142380,126551,124602,138587,138478,127382,134166,133778,131472,134337,143745,129128,135496,145894,
4100 Exchange(comparisons):, 128401,134105,134994,125262,136390,138961,133845,134758,135579,129432,133132,145851,139769,136626,130446,143124,130312,133874,127379,126646,
4200 Exchange(comparisons):, 128687,127599,136473,125655,136655,129491,139245,127710,145802,140521,145401,142751,125313,132206,156800,131973,127193,125917,132602,150601,
4300 Exchange(comparisons):, 123542,130689,137761,123433,124470,139125,138717,124150,131247,128667,126738,132488,128662,127057,133611,124532,127449,134589,139100,131101,
4400 Exchange(comparisons):, 130361,126473,129758,130789,133465,134242,134007,149060,129629,137596,134479,127820,125700,125917,124739,143668,137782,144293,131155,140920,
4500 Exchange(comparisons):, 132541,138369,126483,139271,141905,129504,139314,126995,131023,136603,129068,133490,131499,126866,136581,125313,139330,130457,130632,126080,
4600 Exchange(comparisons):, 139995,123791,141140,141970,137634,125621,132816,141386,133980,128712,138478,133736,133524,140665,128943,131493,127943,145570,132284,129214,
4700 Exchange(comparisons):, 133518,130284,133906,124807,129207,124062,138794,129012,127530,140771,156737,126326,124910,123838,122392,143027,137075,130154,127195,134006,
4800 Exchange(comparisons):, 126998,135325,130329,130094,130127,139384,126596,136752,133151,123244,124986,128846,127055,131715,132373,131972,135743,143660,120596,125506,
4900 Exchange(comparisons):, 141676,138028,126806,127277,135019,136210,127004,145983,124725,130771,124585,129859,143476,137435,127376,131522,125035,123411,136637,133042,
