
Removal Distance (1200 inserts),60.425,61.550000000000004,61.375,61.050000000000004,61.199999999999996,60.35,61.050000000000004,60.675000000000004,60.875,60.75000000000001,60.650000000000006,61.9,60.5,60.699999999999996,61.75000000000001,60.875,60.824999999999996,60.9,60.95,60.824999999999996,61.025,61.275,60.9,60.699999999999996,60.475,61.3,60.775,60.050000000000004,60.6,60.275,61.4,60.199999999999996,61.324999999999996,61.475,60.62499999999999,60.8,61.12499999999999,61.025,60.675000000000004,60.85,60.35,60.525,60.275,61.150000000000006,60.75000000000001,61.95,60.9,60.6,60.550000000000004,62.1,
Removal Distance (1300 inserts),58.575,59.0,59.75,58.575,59.150000000000006,59.275,58.875,59.025000000000006,59.099999999999994,59.45,59.175,58.95,59.475,59.22500000000001,59.650000000000006,59.550000000000004,59.199999999999996,59.175,58.925000000000004,59.175,59.075,59.45,58.675,60.12499999999999,59.425,59.199999999999996,59.35,59.52499999999999,58.925000000000004,59.9,59.4,58.75,58.95,58.72500000000001,59.12500000000001,59.699999999999996,58.975,58.9,58.925000000000004,59.075,59.175,59.45,59.22500000000001,59.375,58.3,59.650000000000006,60.099999999999994,59.35,59.0,59.425,
Removal Distance (1400 inserts),57.125,56.675,57.75,56.8,57.125,57.375,57.574999999999996,56.85,57.199999999999996,57.025000000000006,56.775,57.675,57.825,56.99999999999999,57.550000000000004,57.15,57.074999999999996,57.199999999999996,57.05,57.099999999999994,57.675,57.574999999999996,57.45,57.3,57.225,57.225,57.375,56.95,57.175,57.35,57.25,56.775,57.225,56.45,56.8,56.675,57.325,57.49999999999999,57.475,56.425000000000004,56.725,57.275,57.699999999999996,57.125,57.95,57.75,57.35,57.550000000000004,57.85,56.8,
Removal Distance (1500 inserts),54.7,55.725,55.675,55.1,55.525000000000006,55.35,55.400000000000006,54.75,55.375,55.225,54.900000000000006,54.55,55.275,55.125,55.074999999999996,55.625,54.675,54.87499999999999,55.1,55.574999999999996,55.925000000000004,55.800000000000004,55.400000000000006,55.25,55.775,55.900000000000006,55.00000000000001,54.974999999999994,55.35,55.60000000000001,55.725,54.675,55.25,54.974999999999994,54.900000000000006,55.125,55.05,55.725,55.375,56.05,54.87499999999999,55.55,54.800000000000004,54.800000000000004,55.375,55.275,55.875,55.45,55.45,55.25,
Removal Distance (1600 inserts),53.0,53.400000000000006,53.725,54.474999999999994,53.6,54.0,53.525,53.1,53.5,53.05,53.474999999999994,53.55,54.05,53.625,53.625,53.349999999999994,53.449999999999996,53.349999999999994,53.75,53.225,53.300000000000004,53.1,53.574999999999996,53.65,53.125,53.77499999999999,53.974999999999994,53.425,53.400000000000006,53.625,53.825,53.0,52.675000000000004,52.849999999999994,53.25,53.175,53.125,53.37499999999999,53.5,52.900000000000006,52.949999999999996,53.525,53.425,53.825,53.25,53.974999999999994,53.675,53.525,53.37499999999999,54.05,
Removal Distance (1700 inserts),51.74999999999999,51.0,51.324999999999996,51.824999999999996,51.475,51.175000000000004,50.824999999999996,51.425,52.075,51.324999999999996,51.6,51.4,51.55,51.7,51.5,50.875,52.05,51.55,51.24999999999999,51.125,50.724999999999994,51.1,51.55,51.275000000000006,51.0,51.37500000000001,51.37500000000001,51.300000000000004,51.65,51.675000000000004,51.175000000000004,50.925,51.0,51.15,51.74999999999999,51.675000000000004,51.4,51.675000000000004,51.15,51.65,52.125,50.975,50.9,51.449999999999996,51.0,51.675000000000004,50.925,51.725,51.37500000000001,51.475,
Removal Distance (1800 inserts),49.65,49.5,49.8,49.525000000000006,49.6,49.675000000000004,49.35,49.825,49.025,49.175000000000004,49.6,49.45,49.55,49.05,49.475,49.075,49.375,49.475,49.15,49.725,49.1,49.825,49.225,49.425000000000004,50.275000000000006,49.55,49.2,48.699999999999996,48.975,49.275000000000006,49.0,49.65,50.075,48.949999999999996,49.45,49.425000000000004,50.1,49.325,48.975,49.375,49.95,49.45,48.699999999999996,49.675000000000004,49.45,49.7,49.5,49.275000000000006,48.975,50.075,
Removal Distance (1900 inserts),47.4,47.625,47.025,47.199999999999996,46.85,47.525,47.5,47.699999999999996,47.3,47.225,46.949999999999996,47.275,47.425,48.15,47.275,47.875,47.449999999999996,47.775,47.349999999999994,47.525,46.825,47.5,47.225,46.625,47.525,47.525,47.55,47.275,47.449999999999996,46.725,46.949999999999996,47.275,47.325,47.699999999999996,47.4,47.15,47.275,47.199999999999996,47.675,46.975,47.175,47.25,47.775,47.449999999999996,47.349999999999994,47.55,46.975,47.625,47.3,47.599999999999994,
Removal Distance (2000 inserts),45.4,44.85,45.4,45.2,45.574999999999996,45.2,45.074999999999996,45.074999999999996,46.125,44.975,45.574999999999996,45.35,45.6,45.175,45.175,45.175,45.300000000000004,45.050000000000004,45.2,45.425,45.1,45.550000000000004,45.625,45.925,45.300000000000004,44.9,45.675,45.7,45.050000000000004,44.7,45.475,45.275,45.775,45.475,45.425,45.175,45.65,45.175,45.35,45.324999999999996,45.300000000000004,45.425,45.975,45.550000000000004,44.9,44.95,45.4,45.625,44.95,45.65,
Removal Distance (2100 inserts),43.25,43.85,43.1,43.225,43.225,43.15,43.4,43.15,43.275000000000006,43.125,43.075,43.45,43.425000000000004,43.125,43.175000000000004,43.2,43.325,43.05,43.1,42.725,43.475,43.15,43.2,42.95,42.825,42.925000000000004,43.375,43.15,44.125,43.25,43.55,43.35,43.275000000000006,43.275000000000006,43.375,43.4,43.1,43.4,43.225,42.95,43.25,43.55,43.4,43.25,43.35,43.325,42.675000000000004,43.5,43.075,43.425000000000004,
