Sorted List, 1963035,1962516,1959622,1956279,1931257,1977976,1956145,1930111,1959446,1996404,1972126,1973280,1996270,1999549,1991184,1962678,1991229,1951696,1952461,1950140,
100,1961091,1942579,1944091,1954327,1941161,1960032,1955928,1927145,1952925,1958660,1974413,1953261,1970727,1923065,1973909,1969228,1964256,1962812,1970575,1982401,
200,1953596,1944999,1981600,1955496,1953344,1963721,1945293,1948823,1941126,1950541,1973475,1974075,1960273,1960482,1968250,1964579,1973432,1961499,1952148,1951810,
300,1996094,1913831,1959706,1947261,1949827,1964740,1961818,1990074,1939552,1925577,1946973,1948823,1967987,1933609,1977487,1952675,1917762,1893959,1947990,1962888,
400,1976084,1951647,1954619,1952372,1947287,1952119,1936879,1970197,1946205,1957087,1959143,1970250,1963108,1933356,1972533,1959401,1918551,1987923,1973607,1936683,
500,1939013,1925226,1933225,1936114,1950119,1954860,1980588,1979398,1939477,1927658,1950639,1949046,1920986,1927955,1941788,1954212,1925606,1934456,1939175,1899813,
600,1926717,1928110,1923756,1955712,1916136,1935143,1961291,1936681,1923371,1908661,1950606,1902598,1929653,1948112,1959500,1953032,1955526,1948189,1897607,1985250,
700,1929213,1924405,1897790,1933240,1922859,1955679,1906086,1956720,1949361,1915114,1915657,1895331,1956279,1920993,1966425,1918101,1904444,1885531,1943334,1930805,
800,1943569,1900421,1927294,1920942,1902654,1955946,1934537,1906322,1907615,1925066,1857367,1951191,1938108,1872379,1931824,1892191,1918788,1927844,1903460,1942973,
900,1935407,1932195,1892331,1927594,1899576,1922860,1901898,1941957,1928086,1922976,1938322,1939111,1938091,1917005,1908213,1898142,1946104,1953397,1877559,1914668,
1000,1893095,1855984,1874624,1887548,1902185,1918228,1896315,1888958,1912236,1917571,1904748,1914371,1880450,1877004,1906179,1908825,1890700,1905685,1945412,1897494,
1100,1866713,1871455,1879179,1913247,1909971,1890612,1854651,1860020,1901982,1920481,1878399,1867304,1872313,1897804,1867905,1920666,1941553,1905617,1893656,1916365,
1200,1868139,1872396,1900341,1911848,1901917,1877988,1840667,1887233,1884583,1851766,1900164,1896366,1888309,1895619,1871141,1837983,1889940,1842524,1901385,1888310,
1300,1839143,1858499,1888349,1830787,1880769,1880210,1871609,1855256,1828532,1881789,1877797,1864425,1899231,1882662,1873464,1869021,1873231,1851867,1851860,1820221,
1400,1841407,1903240,1858944,1855920,1853109,1833702,1841085,1856062,1845841,1880267,1864858,1851035,1912291,1846542,1843707,1841587,1842017,1831223,1864369,1831911,
1500,1829188,1827535,1859855,1818958,1822591,1838069,1823341,1856356,1831624,1859874,1859474,1818084,1840825,1835168,1880998,1870445,1812650,1892039,1875572,1832140,
1600,1782419,1823754,1820974,1820330,1832400,1836674,1806732,1823136,1841279,1828562,1833907,1849888,1833328,1851202,1815312,1819771,1824406,1813093,1839946,1796077,
1700,1799649,1809177,1831435,1800417,1842567,1760639,1848864,1803844,1779336,1779250,1803404,1778701,1857697,1768132,1816025,1844016,1796699,1800020,1803009,1809136,
1800,1813845,1786043,1766022,1771401,1791505,1822627,1768720,1793442,1777703,1781506,1778442,1791373,1797426,1807821,1795299,1738669,1781800,1749474,1803692,1748463,
1900,1737417,1790737,1782838,1740529,1783428,1803026,1790786,1794306,1751360,1739103,1760779,1769045,1778681,1783332,1751848,1729144,1734295,1788774,1715860,1765237,
2000,1706721,1715583,1691235,1748696,1740966,1747115,1749379,1729246,1714054,1689119,1720687,1767571,1719990,1755033,1696455,1709680,1705403,1766677,1732898,1710553,
2100,1717894,1752900,1727874,1785414,1679411,1737282,1662804,1717232,1712378,1685859,1700690,1675555,1697604,1702919,1714473,1719330,1713556,1691081,1681445,1734653,
2200,1680828,1657435,1679576,1631013,1646446,1670819,1692080,1654987,1661971,1658735,1645457,1666354,1723095,1693710,1659687,1656488,1669244,1639535,1647986,1663195,
2300,1639898,1678428,1656631,1649607,1635739,1581172,1649968,1597097,1667960,1621046,1623307,1643732,1616244,1670926,1616251,1633655,1634820,1641842,1602960,1671974,
2400,1603519,1572664,1578723,1603966,1646268,1591607,1616981,1590883,1634183,1570428,1587940,1582417,1579221,1587052,1626895,1599633,1601582,1617732,1618418,1591523,
2500,1545711,1523722,1524127,1543556,1588998,1531599,1573273,1576097,1560011,1560866,1570121,1592496,1554200,1574380,1591612,1548981,1573222,1517472,1593807,1553741,
2600,1504348,1509281,1506200,1508755,1479829,1451379,1473217,1488456,1532531,1506629,1488960,1547181,1528801,1517517,1519824,1488630,1527110,1465147,1539396,1520296,
2700,1525667,1451145,1450479,1456506,1454727,1468361,1444997,1431063,1484692,1464780,1438458,1451323,1446548,1469678,1478958,1485623,1466714,1472229,1474885,1513075,
2800,1374372,1459116,1397336,1418214,1414609,1378454,1331238,1398496,1439337,1386988,1379300,1429176,1376505,1415780,1416054,1382421,1412537,1394850,1390755,1383196,
2900,1343312,1312916,1310744,1358017,1353277,1328151,1355980,1325385,1328116,1338861,1343642,1336821,1341579,1356340,1336155,1371502,1335406,1370095,1336303,1368787,
3000,1243713,1305267,1232784,1251296,1280232,1300471,1277706,1255789,1280028,1256897,1300736,1258352,1276654,1268656,1268489,1263504,1249836,1329515,1272708,1243822,
3100,1183528,1182310,1234397,1177828,1184666,1183858,1154178,1166849,1252614,1202215,1170039,1207608,1171376,1166275,1216315,1245380,1177911,1221242,1114743,1215394,
3200,1112893,1091686,1104478,1074077,1130950,1100054,1096873,1062752,1135476,1071190,1086157,1146743,1088827,1083824,1101170,1109819,1118027,1079734,1139780,1139689,
3300,1042197,1009404,995812,1017283,1031155,998312,965340,977414,1026661,1049055,998008,987950,1013485,984245,1037170,1029663,1025861,1004206,988514,1030157,
3400,933256,928441,908135,934467,910505,838210,891737,897017,914330,912365,882389,915708,931325,900034,949434,921101,947319,909444,861831,918321,
3500,741992,807152,772654,776771,827598,791817,803234,783806,777398,774235,781715,793806,772970,812107,816897,806641,769300,814083,772894,790661,
3600,649754,666195,659099,637017,685347,721323,671292,707673,685197,596137,663936,683055,694046,676828,651327,647727,665378,673528,679977,715117,
3700,524574,523801,522526,535607,529258,539048,513907,547937,557540,517872,510534,565379,528983,538869,537830,512016,497718,542425,489252,505261,
3800,355856,388163,367547,375008,390791,379865,358387,371583,339671,363821,364986,368469,382652,370012,361584,384668,375321,364434,420177,380479,
3900,201934,206509,200541,188140,201750,201405,218617,199023,187982,216399,191660,201926,194460,221927,227685,201795,214555,204750,232451,194320,
3910,206188,183470,193188,201669,190077,204400,193944,193156,180536,189325,192636,199621,187833,192482,208154,174373,189656,194176,180955,193920,
3920,168272,182723,180909,176195,174820,182145,185580,168690,169238,168107,189563,169533,182339,151472,178942,168737,166939,169554,175742,165928,
3930,156344,149784,134923,157307,144004,172638,151047,155151,171544,139048,165464,148343,162493,158227,156583,154978,135866,151248,152175,157201,
3940,130652,146501,139672,146080,127190,135622,147725,144738,135870,142741,146745,136314,149344,136205,115509,155199,135395,141750,137230,126324,
3950,125920,122841,116618,123752,131072,122247,123730,110829,122517,118386,118861,115390,116927,121922,126500,114335,122767,128401,111773,119101,
3960,100776,105806,114923,103307,101824,108590,95329,103829,103071,98704,110280,99588,107530,95698,99227,113519,98935,103572,88418,110013,
3970,74291,86232,80153,95664,84888,90020,76063,94865,82795,84564,83073,92959,91000,90485,81108,95458,78961,86098,87246,95304,
3980,61945,79760,75713,80308,66581,64880,60280,72186,67340,66001,68382,62059,81030,62983,59509,58507,72762,66985,68537,70300,
3990,56517,52117,48082,51365,59303,49618,55385,55211,55194,53389,59713,56068,56002,51789,57089,52821,51676,55238,48092,57008,
Random Order, 48533,47747,51511,46846,43509,44568,47906,46338,49780,46941,45988,42454,44588,47517,46446,48155,44752,45370,43098,44262,
Reverse Sorted List, 45393,44070,48037,47256,45689,43534,44107,41521,47261,44655,44065,45301,49157,46994,44441,48084,48139,47298,48372,42940,
