
100 (comparisons/sortedness),5167058,10441755,15668167,20649354,26108976,31328821,36590855,41838787,47695045,51695663,57555439,62787055,67159242,73231211,77475587,82651334,88909181,94098590,99369359,104602572,
200 (comparisons/sortedness),106967364,113458752,117067720,123637106,127071374,133788858,137152711,140302899,147087497,152115993,157055650,162033023,167012599,172047081,177079715,182075071,189452217,189570001,196985030,202004029,
300 (comparisons/sortedness),201709685,206458107,208423911,215876673,223535933,228394044,230240310,235030883,239813544,244548952,252588605,254096749,258853305,267059678,268420596,276794050,274345361,282711422,287456974,292212983,
400 (comparisons/sortedness),293030551,293651086,298158772,306718972,311329807,315960223,316305543,325129429,325325908,334307978,334454104,343503630,343498525,352706036,352546196,361903743,356758259,366118947,375593846,380189309,
500 (comparisons/sortedness),374551935,378904118,383287967,387651428,386690560,396357142,400724295,405085755,403891047,413763705,418161669,416805423,426872531,431254986,435682733,440030120,438305229,448653331,446863576,457358345,
600 (comparisons/sortedness),442860503,453230790,457342305,467893627,465639525,469761720,473926810,484814701,475602668,486465250,490626251,494786864,498927628,510075337,507256140,511402167,515601208,512472559,531171470,528069286,
700 (comparisons/sortedness),524736205,528765381,525248186,529189178,533119371,537030481,540962862,544881075,548767470,552660300,548570474,568469774,572455975,568335614,572241657,576146147,580077492,592385546,596417022,591985607,
800 (comparisons/sortedness),578777768,582523238,594923002,598722981,611244978,597483246,601215129,604924932,608643331,612358138,625168026,628987981,623597875,627299258,631012428,634728290,638445109,651586207,655387307,649582672,
900 (comparisons/sortedness),633991004,647181670,650786695,654407733,658043967,661630596,655235268,668758696,662235871,675848327,679430150,683054588,686675045,690265660,693873695,687008256,701010328,704599626,708220103,701167955,
1000 (comparisons/sortedness),693932309,697295574,700694836,704062113,696498040,710717013,703044043,717356678,709612483,724081494,727467467,730860039,722908011,726204518,740970422,732888349,747710033,739502934,754445595,757844660,
1100 (comparisons/sortedness),737714275,740891606,732195537,747179640,750362875,753562859,756742134,759933129,763060273,766243160,769362507,772538032,775681256,778826369,781966696,785141325,788325637,791469646,794653462,797866750,
1200 (comparisons/sortedness),762780916,791276890,794299756,797379241,787483314,777488214,806494792,796455455,812545448,802382615,805375177,808329898,811276648,814233993,817227598,820214646,823210924,826187539,829131834,832109924,
1300 (comparisons/sortedness),807628811,810412952,813203888,815972864,818722396,821485544,824248553,827043166,829873508,832650124,835462211,838251336,841044122,843815553,846645633,849452677,852207333,855027631,872336080,860590643,
1400 (comparisons/sortedness),834014631,836642121,839187843,856586877,859277988,847080932,864648478,852313133,839897480,872610612,875301873,877977074,865473450,868077911,870681029,873275317,875866563,878469052,881061208,883681051,
1500 (comparisons/sortedness),855122310,857543398,859953437,862389518,864799554,867232130,869641872,872088763,890428678,876945395,879366618,881783976,900330025,886669093,889093819,907764470,893988164,896423293,898836820,917638124,
1600 (comparisons/sortedness),870727095,872981306,891775053,877511531,896372828,882011850,884303224,886545255,905586004,907902149,910245360,912565861,897950233,900213166,919509813,921816937,907013730,909289124,911512872,913779252,
1700 (comparisons/sortedness),881356714,883455667,885501809,905014925,907162364,909313250,893902688,896008619,898080787,900208656,902311471,904410375,924335704,908655147,928602190,930790599,914976499,899067230,937184353,921275360,
1800 (comparisons/sortedness),887079246,907168255,890960812,892877856,894817022,896746251,898672257,900599138,920994007,922944705,924939023,908375345,910287444,930877148,914190342,916140063,918096306,920072018,922000193,923923858,
1900 (comparisons/sortedness),906904735,889796032,891592729,893363868,895156392,896955183,898729958,919691135,921517041,923343600,925196909,927032033,909489703,911287478,913023246,914811670,916608428,937955034,939779670,941596435,
2000 (comparisons/sortedness),884345058,905673780,887624368,889237740,910664492,892482124,894122913,895775748,897372586,899022273,900646700,902289384,903955044,925747633,907262300,908928279,910567059,912204345,934170615,935832892,
2100 (comparisons/sortedness),876277848,877774927,879277654,901262248,882253057,883740289,885209960,886692735,888201420,910372807,891169785,892652796,894152957,895660597,897162317,919556081,921122854,922671585,903169291,925707080,
2200 (comparisons/sortedness),863934762,865294050,866644357,889192755,869371926,870734348,893378957,873458121,874806419,897553149,898956739,878900728,880264444,881623296,882985214,884333614,907279810,887018594,888365848,867990662,
2300 (comparisons/sortedness),847502612,848717733,849945662,851172482,852373413,875515607,854851917,878062100,857321508,858535167,859739840,860956236,862192690,863413403,864635301,865830566,889283878,868270436,869506445,870726803,
2400 (comparisons/sortedness),827162497,828267171,829370705,830476962,831582700,832669321,833774356,834872560,835952508,837064362,838150154,839273585,840373330,841479988,842566541,866486934,844773058,845859330,846948073,848039555,
2500 (comparisons/sortedness),803182638,804141137,805110649,806081636,807054231,808020029,809002487,809979732,810957819,811951839,812933327,813919640,814902862,815883694,816863350,817828040,818808492,819794400,820766440,821722762,
2600 (comparisons/sortedness),775636134,776497911,777358359,778231144,779111051,756337672,780836755,781694181,782567029,783422195,784279068,785138023,785982487,786835428,763815854,764648998,789390763,790262902,791128643,791994685,
2700 (comparisons/sortedness),720728218,721446755,746245953,746990223,747759374,724360027,725080057,725818594,726551402,751510814,727996255,728720699,753758964,730159367,755254881,756027391,756783152,757548511,758331438,734612852,
2800 (comparisons/sortedness),710801121,686929995,687562964,688212392,713447787,689490109,690121295,715441000,716110042,692039004,692688156,693318451,693955270,694597467,695229325,695866331,696506987,697139797,697770221,698400406,
2900 (comparisons/sortedness),649072273,649607020,650149205,650681467,651228477,651764700,652304706,652829323,653385684,653922424,654480914,655010039,655549944,656090210,656630683,682464445,657733298,658279598,658829504,659371783,
3000 (comparisons/sortedness),609115103,609579155,610040159,610502663,610952181,611421562,611891469,612358074,612808490,613280484,613731483,614183219,614647628,615113403,615579738,616037729,616491877,616947378,617417628,617875428,
3100 (comparisons/sortedness),566759681,567139096,541717370,542069917,568271392,568651219,543172433,569420966,543898543,570176317,544629483,570951280,571334783,571718459,546107592,572502846,572886567,573255555,547559276,574005956,
