Sorted List, 70,37,27,33,26,20,53,31,21,17,16,16,26,39,42,21,18,16,16,16,
10,17,13,30,33,68,16,26,9,5,15,7,4,6,7,13,14,22,10,16,19,
20,11,15,11,36,5,8,5,9,5,9,3,3,5,5,3,9,4,2,5,2,
30,3,3,2,3,2,6,2,5,3,7,1,3,2,3,4,2,4,5,3,4,
40,3,3,2,1,4,2,3,2,3,4,1,3,2,3,2,3,3,5,2,2,
50,2,2,3,2,2,1,2,2,1,2,2,1,2,3,1,1,1,3,1,3,
60,1,1,4,1,2,5,2,1,2,2,3,4,2,1,1,5,2,2,3,2,
70,2,1,1,3,4,4,4,3,6,4,4,3,6,3,7,3,4,4,5,4,
80,6,4,5,4,3,7,5,3,4,4,3,3,4,4,2,5,3,5,3,4,
90,3,6,2,3,3,2,7,5,3,4,2,1,1,2,1,1,1,2,1,2,
100,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,
200,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,
300,0,1,0,1,0,0,1,1,1,3,1,1,1,0,1,1,1,0,1,1,
400,1,0,2,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,
500,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,2,1,1,0,1,
600,1,0,1,1,0,1,1,1,0,1,0,1,0,2,0,1,0,0,1,1,
700,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,1,
800,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,
900,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,
1000,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,
1100,1,0,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,
1200,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,0,0,1,
1300,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,
1400,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,
1500,1,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,
1600,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,
1700,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,
1800,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,2,1,
1900,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,
2000,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,
2100,0,1,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,1,0,
2200,0,1,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,
2300,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2400,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,
2500,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,
2600,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,
2700,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,
2800,1,1,1,2,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,
2900,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0,2,1,
3000,0,0,0,3,0,1,2,0,1,0,1,0,1,0,1,1,1,0,0,0,
3100,1,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,1,0,1,0,
3200,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,
3300,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,
3400,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,
3500,1,1,1,0,1,1,2,1,1,0,0,0,0,0,0,1,1,0,0,1,
3600,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,
3700,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,
3800,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,
3900,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,
4000,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,
Random Order, 1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,
Reverse Sorted List, 0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
